pID,pName,options,suggestion
MACK-PAA,Mack Purple Armadillo - Angle,"[{""name"":""MPAA-1/4"",""price"":660},{""name"":""MPAA-1/2"",""price"":800},{""name"":""MPAA-3/4"",""price"":1100},{""name"":""MPAA-1"",""price"":1420}]","[""No Suggestions""]"
1010,Mack Series 1010,"[{""name"":""1010-00"",""price"":1540},{""name"":""1010-0"",""price"":1590},{""name"":""1010-1"",""price"":1660}]","[""Not All Prices Match"",{""name"":""Mack Series 1010 Striping # 00"",""price"":1120},{""name"":""Mack Series 1010 Striping # 0"",""price"":1200},{""name"":""Mack Series 1010 Striping # 1"",""price"":1280}]"
1111,Mack Series 1111 Long Stryper,"[{""name"":""1111-00"",""price"":1050},{""name"":""1111-0"",""price"":1125},{""name"":""1111-1"",""price"":1200}]","[""Success-1"",{""name"":""Mack Long Liner Striper 00"",""price"":1050},{""name"":""Mack Long Liner Striper 0"",""price"":1125},{""name"":""Mack Long Liner Striper 1"",""price"":1200}]"
838,Mack Series 838 Outliners & Hilighters,"[{""name"":""838-1 (1-1/16\"")"",""price"":340},{""name"":""838-2 (1-1/8\"")"",""price"":380},{""name"":""838-3 (1-1/4\"")"",""price"":465},{""name"":""838-4 (1-3/8\"")"",""price"":550},{""name"":""838-5 (1-1/2\"")"",""price"":680},{""name"":""838-6 (1-9/16\"")"",""price"":760}]","[""Success-1"",{""name"":""Mack 838 #1 Outliner"",""price"":340},{""name"":""Mack 838 #2 Outliner 1-1/8"",""price"":380},{""name"":""Mack 838 #3 Outliner 1-1/4"",""price"":465},{""name"":""Mack 838 #4 Outliner"",""price"":550},{""name"":""Mack 838 #5 Outliner 1-1/2"",""price"":680},{""name"":""Mack 838 #6 Outliner 1-9/16"",""price"":760}]"
839,Mack Series 839 Outliners & Hilighters,"[{""name"":""839-0 (1\"")"",""price"":545},{""name"":""839-1 (1-1/16\"")"",""price"":570},{""name"":""839-2 (1-1/8\"")"",""price"":585},{""name"":""839-3 (1-1/4\"")"",""price"":616},{""name"":""839-4 (1-3/8\"")"",""price"":686},{""name"":""839-5 (1-1/2\"")"",""price"":763},{""name"":""839-6 (1-9/16\"")"",""price"":945}]","[""Not All Prices Match"",{""name"":""Mack 839 #0 Outliner"",""price"":545},{""name"":""Mack 839 #1 Outliner"",""price"":570},{""name"":""Mack 839 #2 Outliner"",""price"":585},{""name"":""Mack 839 #3 Outliner"",""price"":610},{""name"":""Mack 839 #4 Outliner"",""price"":630},{""name"":""Mack 839 #5 Outliner"",""price"":670},{""name"":""Mack 839 #6 Outliner"",""price"":734},""Parenthesis"",""Match Number: 0""]"
SLS,Mack SLS,"[{""name"":""SLS-00"",""price"":1141},{""name"":""SLS-0"",""price"":1215},{""name"":""SLS-1"",""price"":1288}]","[""Not All Prices Match"",{""name"":""Mack SLS #00"",""price"":1120},{""name"":""Mack SLS #0"",""price"":1200},{""name"":""Mack SLS #1"",""price"":1280}]"
444VII,Mack Virus II,"[{""name"":""444VII-0"",""price"":495},{""name"":""444VII-1"",""price"":550},{""name"":""444VII-2"",""price"":580},{""name"":""444VII-4"",""price"":620}]","[""More Suggestions:5"",{""name"":""Mack 444VII #0 The Virus II"",""price"":495},{""name"":""Mack 444VII #1 The Virus II"",""price"":550},{""name"":""Mack 444VII #4 The Virus II"",""price"":620},{""name"":""Mack Virus II Set of All 4"",""price"":2195},{""name"":""Mack 444VII #2 The Virus II"",""price"":580}]"
M-L,Mack-Lite Sword Striping Brush,"[{""name"":""M-L00"",""price"":1505},{""name"":""M-L0"",""price"":1575},{""name"":""M-L1"",""price"":1610}]","[""No Suggestions""]"
JN,Mack-Norris Trickster,"[{""name"":""JN-00"",""price"":1610},{""name"":""JN-0"",""price"":1645},{""name"":""JN-1"",""price"":1680}]","[""Not All Prices Match"",{""name"":""Mack-Norris Trickster #00"",""price"":1480},{""name"":""Mack-Norris Trickster #0"",""price"":1520},{""name"":""Mack-Norris Trickster #1"",""price"":1560}]"
163L,Magenta,"[{""name"":""4 oz"",""price"":1410},{""name"":""8 oz"",""price"":2066},{""name"":""Pint"",""price"":3012},{""name"":""Quart"",""price"":5465}]","[""Success-1"",{""name"":""One Shot 163L Magenta 4oz"",""price"":1410},{""name"":""One Shot 163L Magenta 8oz"",""price"":2066},{""name"":""One Shot 163L Magenta 16oz"",""price"":3012},{""name"":""One Shot 163L Magenta 32oz"",""price"":5465}]"
KK16,Magenta,"[{""name"":""1 oz"",""price"":995},{""name"":""2 oz"",""price"":1695},{""name"":""4 oz"",""price"":2995},{""name"":""Half Pint"",""price"":4753}]","[""No Suggestions""]"
KK16RTS,Magenta (Ready to Spray),"[{""name"":""2 oz"",""price"":1495},{""name"":""4 oz"",""price"":2495},{""name"":""8 oz"",""price"":4500}]","[""Not All Prices Match"",{""name"":""HoK Kandy Koncentrate 16 Magenta Ready To Spray 2oz"",""price"":1695},{""name"":""HoK Kandy Koncentrate 16 Magenta Ready To Spray 4oz"",""price"":2995},{""name"":""HoK Kandy Koncentrate 16 Magenta Ready To Spray 8oz"",""price"":4753}]"
S2-SG03,Magenta Graphic Base,"[{""name"":""4 oz"",""price"":3012},{""name"":""8 oz"",""price"":5477},{""name"":""16 oz"",""price"":9958},{""name"":""4oz PRE REDUCED 1:1"",""price"":3012},{""name"":""8oz PRE REDUCED 1:1"",""price"":5477},{""name"":""16oz PRE REDUCED 1:1"",""price"":9958},{""name"":""Quart"",""price"":15099},{""name"":""12oz AEROSOL Spray Can"",""price"":4062}]","[""Less Suggestions"",{""name"":""HoK S2 HS Graphic Base SG03 Magenta 4oz"",""price"":5065},{""name"":""HoK S2 HS Graphic Base SG03 Magenta 8oz"",""price"":6937},{""name"":""HoK S2 HS Graphic Base SG03 Magenta 16oz"",""price"":12613},{""name"":""HoK S2 HS Graphic Base SG03 Magenta 32oz"",""price"":19124}]"
PBC37,Majik Blue Pearl,"[{""name"":""4 oz"",""price"":2810},{""name"":""8 oz"",""price"":5110},{""name"":""16 oz"",""price"":9290},{""name"":""4oz PRE REDUCED 1:1"",""price"":2810},{""name"":""8oz PRE REDUCED 1:1"",""price"":5110},{""name"":""16oz PRE REDUCED 1:1"",""price"":9290},{""name"":""Quart"",""price"":13563},{""name"":""12oz AEROSOL Spray Can"",""price"":3860}]","[""Less Suggestions"",{""name"":""HoK Pearl Basecoat 37 Majik Blue 4oz"",""price"":3427},{""name"":""HoK Pearl Basecoat 37 Majik Blue 8oz"",""price"":6232},{""name"":""HoK Pearl Basecoat 37 Majik Blue 16oz"",""price"":11330},{""name"":""HoK Pearl Basecoat 37 Majik Blue 32oz"",""price"":17182}]"
SG106,Maltise Maroon,"[{""name"":""4 oz"",""price"":2717},{""name"":""8 oz"",""price"":4940},{""name"":""16 oz"",""price"":8981},{""name"":""4oz PRE REDUCED 1:1"",""price"":2717},{""name"":""8oz PRE REDUCED 1:1"",""price"":4940},{""name"":""16oz PRE REDUCED 1:1"",""price"":8981},{""name"":""Quart"",""price"":14592},{""name"":""12oz AEROSOL Spray Can"",""price"":3767}]","[""Less Suggestions"",{""name"":""HoK Graphic Kolors SG106 Maltise Maroon 4oz"",""price"":5008},{""name"":""HoK Graphic Kolors SG106 Maltise Maroon 8oz"",""price"":6832},{""name"":""HoK Graphic Kolors SG106 Maltise Maroon 16oz"",""price"":12423},{""name"":""HoK Graphic Kolors SG106 Maltise Maroon 32oz"",""price"":18848}]"
108L,Maroon,"[{""name"":""4 oz"",""price"":1205},{""name"":""8 oz"",""price"":1723},{""name"":""Pint"",""price"":2517},{""name"":""Quart"",""price"":4475}]","[""Not All Prices Match"",{""name"":""One Shot 108L Maroon 4oz"",""price"":1205},{""name"":""One Shot 108L Maroon 8oz"",""price"":1722},{""name"":""One Shot 108L Maroon 16oz"",""price"":2516},{""name"":""One Shot 108L Maroon 32oz"",""price"":4475}]"
S2-SG01,Maroon Graphic Base,"[{""name"":""4 oz"",""price"":3012},{""name"":""8 oz"",""price"":5477},{""name"":""16 oz"",""price"":9958},{""name"":""4oz PRE REDUCED 1:1"",""price"":3012},{""name"":""8oz PRE REDUCED 1:1"",""price"":5477},{""name"":""16oz PRE REDUCED 1:1"",""price"":9958},{""name"":""Quart"",""price"":15099},{""name"":""12oz AEROSOL Spray Can"",""price"":4062}]","[""Less Suggestions"",{""name"":""HoK S2 HS Graphic Base SG01 Maroon 4oz"",""price"":3815},{""name"":""HoK S2 HS Graphic Base SG01 Maroon 8oz"",""price"":6937},{""name"":""HoK S2 HS Graphic Base SG01 Maroon 16oz"",""price"":12613},{""name"":""HoK S2 HS Graphic Base SG01 Maroon 32oz"",""price"":19124}]"
NWM,Maroon Surface Preparation Disc,"[{""name"":""4-1/2\"" x 7/8\"" (NW45MF)"",""price"":795},{""name"":""7\"" x 7/8\"" (NW7MF)"",""price"":1295}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Pearl Maroon Fine Surface Prep Wheel (4½x⅞\"")"",""price"":795},{""name"":""Pearl Maroon Fine Surface Prep Wheel (7x⅞\"")"",""price"":1295}]"
HX-MAR,Mars Attacks  XTREME-SHIFT,"[{""name"":""4oz / TESTER ($61.40)"",""price"":6140},{""name"":""10oz / AEROSOL ($106.65)"",""price"":10665},{""name"":""16oz / PINT ($163.74)"",""price"":16374},{""name"":""32oz / QUART ($284.77)"",""price"":28477},{""name"":""128oz / GALLON ($990.51)"",""price"":99051}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
4055,Masterstroke Bristle Brush,"[{""name"":""4055-1/4 (7/8\"" length)"",""price"":371},{""name"":""4055-1/2 (1-1/16\"" length)"",""price"":623},{""name"":""4055-3/4 (1-7/16\"" length)"",""price"":882},{""name"":""4055-1 (1-5/8\"" length)"",""price"":1043},{""name"":""4055-1-1/2 (2\"" length)"",""price"":1484},{""name"":""4055-2 (2-1/8\"" length)"",""price"":1778},{""name"":""4055-2-1/2 (2-1/4\"" length)"",""price"":2282}]","[""Success-1"",{""name"":""Mack 4055 #¼\"" Masterstroke Bristle"",""price"":371},{""name"":""Mack 4055 # 1/2\"" Masterstroke Bristle"",""price"":623},{""name"":""Mack 4055 #¾\"" Masterstroke Bristle Brush"",""price"":882},{""name"":""Mack 4055 #1 Masterstroke Bristle"",""price"":1043},{""name"":""Mack 4055 #1½\"" Masterstroke Bristle"",""price"":1484},{""name"":""Mack 4055 #2 Masterstroke Bristle"",""price"":1778},{""name"":""Mack 4055 #2½\"" Masterstroke Bristle"",""price"":2282}]"
5603,Matte Top Coat,"[{""name"":""16oz"",""price"":1050},{""name"":""32oz"",""price"":1750}]","[""Success-1"",{""name"":""Createx 5603 Matte Top Coat 16oz"",""price"":1050},{""name"":""Createx 5603 Matte Top Coat 32oz"",""price"":1750}]"
5134,Maui Blue,"[{""name"":""2 oz"",""price"":361},{""name"":""4 oz"",""price"":562},{""name"":""8 oz"",""price"":1087},{""name"":""16 oz"",""price"":2021},{""name"":""32 oz"",""price"":3333},{""name"":""Gallon"",""price"":11464}]","[""Not All Prices Match"",{""name"":""Createx 5134 Transparent Maui Blue 2oz"",""price"":295},{""name"":""Createx 5134 Transparent Maui Blue 4oz"",""price"":450},{""name"":""Createx 5134 Transparent Maui Blue 8oz"",""price"":875},{""name"":""Createx 5134 Transparent Maui Blue 16oz"",""price"":1600},{""name"":""Createx 5134 Transparent Maui Blue 32oz"",""price"":3333},{""name"":""Createx 5134 Transparent Maui Blue Gallon"",""price"":11464}]"
S2-11,Mayan Magenta FX Base,"[{""name"":""4oz"",""price"":1541},{""name"":""8oz"",""price"":2802},{""name"":""16oz"",""price"":5094},{""name"":""24oz (Quart Can)"",""price"":7651}]","[""Not All Prices Match"",{""name"":""HoK S2 FX Karrier Base 11 Mayan Magenta 4oz"",""price"":2343},{""name"":""HoK S2 FX Karrier Base 11 Mayan Magenta 8oz"",""price"":4261},{""name"":""HoK S2 FX Karrier Base 11 Mayan Magenta 16oz"",""price"":7747},{""name"":""HoK S2 FX Karrier Base 11 Mayan Magenta 32oz"",""price"":9699}]"
I-450,Medea Clear Bottles w/ Assembly,"[{""name"":""1oz (I-450-1)"",""price"":0},{""name"":""2oz (I-450-2)"",""price"":0},{""name"":""4oz (I-450-4)"",""price"":0},{""name"":""2oz Jar (I-460-2)"",""price"":0}]","[""Less Suggestions"",{""name"":""Medea Clear Bottles w/ Assembly 2oz"",""price"":425},{""name"":""Medea Clear Bottles w/ Assembly 4oz"",""price"":425},{""name"":""Medea Clear Bottles w/ Assembly 1oz"",""price"":425},""Parenthesis"",""Success-2"",{""name"":""Medea Clear Bottles w/ Assembly 1oz"",""price"":425},{""name"":""Medea Clear Bottles w/ Assembly 2oz"",""price"":425},{""name"":""Medea Clear Bottles w/ Assembly 4oz"",""price"":425},{""name"":""Medea Clear Bottles w/ Assembly 2oz Jar"",""price"":425}]"
I-405/420,Medea Glass Siphon Jars w/ Assembly,"[{""name"":""3/4oz (I-405-2)"",""price"":0},{""name"":""1-1/2oz (I-420-2)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
9-200,Medea Gloss Varnish,"[{""name"":""4 oz"",""price"":525},{""name"":""16 oz"",""price"":1595},{""name"":""32 oz"",""price"":2295},{""name"":""Gallon"",""price"":5995}]","[""No Suggestions""]"
9-100,Medea Matte Varnish,"[{""name"":""4 oz"",""price"":525},{""name"":""16 oz"",""price"":1595},{""name"":""32 oz"",""price"":2295},{""name"":""Gallon"",""price"":5995}]","[""No Suggestions""]"
I-470/480,Medea Natural Bottles w/ Assembly,"[{""name"":""1oz (I-470-1)"",""price"":0},{""name"":""2oz (I-470-2)"",""price"":0},{""name"":""4oz (I-470-4)"",""price"":0},{""name"":""2oz Jar (I-480-2)"",""price"":0},{""name"":""3oz Jar (I-480-3)"",""price"":0},{""name"":""4oz Jar (I-480-4)"",""price"":0}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Medea Natural Bottle w/ Assembly 1oz"",""price"":450},{""name"":""Medea Natural Bottle w/ Assembly 2oz"",""price"":450},{""name"":""Medea Natural Bottle w/ Assembly 4oz"",""price"":450},{""name"":""Medea Natural Bottle w/ Assembly 2oz Jar"",""price"":450},{""name"":""Medea Natural Bottle w/ Assembly 3oz Jar"",""price"":450},{""name"":""Medea Natural Bottle w/ Assembly 4oz Jar"",""price"":450}]"
I-490,Medea No Rust Assembly Only,"[{""name"":""20mm Assembly (I-490-20)"",""price"":0},{""name"":""24mm Assembly (I-490-24)"",""price"":0},{""name"":""38mm Assembly (I-490-38)"",""price"":0}]","[""Not All Prices Match"",{""name"":""Iwata No Rust 20mm Assembly Only"",""price"":325},{""name"":""Iwata No Rust 24mm Assembly Only"",""price"":325},{""name"":""Iwata No Rust 38mm Assembly Only"",""price"":325},""Parenthesis"",""Success-2"",{""name"":""Iwata No Rust 20mm Assembly Only"",""price"":325},{""name"":""Iwata No Rust 24mm Assembly Only"",""price"":325},{""name"":""Iwata No Rust 38mm Assembly Only"",""price"":325}]"
7102,Medium Activator for 77165 Clear,"[{""name"":""Half Pint (7102-HP)"",""price"":1550},{""name"":""Quart (7102-Q)"",""price"":4250}]","[""Not All Prices Match"",{""name"":""Createx Scenix Fluorescent  Raspberry Quart Kit"",""price"":5700},{""name"":""Createx Scenix Fluorescent  Raspberry Gallon Kit"",""price"":19000},""Parenthesis"",""Match Number: 0""]"
114L,Medium Brown,"[{""name"":""4 oz"",""price"":835},{""name"":""8 oz"",""price"":1258},{""name"":""Pint"",""price"":1777},{""name"":""Quart"",""price"":3345}]","[""Not All Prices Match"",{""name"":""One Shot 114L Medium Brown 4oz"",""price"":835},{""name"":""One Shot 114L Medium Brown 8oz"",""price"":1259},{""name"":""One Shot 114L Medium Brown 16oz"",""price"":1776},{""name"":""One Shot 114L Medium Brown 32oz"",""price"":3163}]"
M-01,Medium Cut Cleaner,"[{""name"":""16oz (M0116)"",""price"":950},{""name"":""64oz (M0164)"",""price"":3150}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
144L,Medium Green,"[{""name"":""4 oz"",""price"":898},{""name"":""8 oz"",""price"":1361},{""name"":""Pint"",""price"":1937},{""name"":""Quart"",""price"":3440}]","[""Not All Prices Match"",{""name"":""One Shot 144L Medium Green 4oz"",""price"":897},{""name"":""One Shot 144L Medium Green 8oz"",""price"":1360},{""name"":""One Shot 144L Medium Green 16oz"",""price"":1937},{""name"":""One Shot 144L Medium Green 32oz"",""price"":3440}]"
195L,Medium Grey,"[{""name"":""4 oz"",""price"":835},{""name"":""8 oz"",""price"":1258},{""name"":""Pint"",""price"":1777},{""name"":""Quart"",""price"":3345}]","[""Not All Prices Match"",{""name"":""One Shot 195L Medium Grey 4oz"",""price"":834},{""name"":""One Shot 195L Medium Grey 8oz"",""price"":1259},{""name"":""One Shot 195L Medium Grey 16oz"",""price"":1776},{""name"":""One Shot 195L Medium Grey 32oz"",""price"":3164}]"
RU311,Medium Reducer,"[{""name"":""4 oz"",""price"":595},{""name"":""8 oz"",""price"":795},{""name"":""16 oz"",""price"":1295},{""name"":""Quart"",""price"":2118},{""name"":""Gallon"",""price"":6188}]","[""Not All Prices Match"",{""name"":""Hok Urethane Reducer RU311 Medium 4oz"",""price"":792},{""name"":""Hok Urethane Reducer RU311 Medium 8oz"",""price"":1056},{""name"":""Hok Urethane Reducer RU311 Medium 16oz"",""price"":1920},{""name"":""Hok Urethane Reducer RU311 Medium 32oz"",""price"":2688},{""name"":""Hok Urethane Reducer RU311 Medium Gallon"",""price"":7840}]"
UNIGRIT,Meguiars Unigrit Sand Paper,"[{""name"":""1000 Grit (S-1025)"",""price"":2450},{""name"":""1200 Grit (S-1225)"",""price"":2650},{""name"":""1500 Grit (S-1525)"",""price"":2950},{""name"":""2000 Grit (S-2025)"",""price"":2950},{""name"":""2500 Grit (S-2525)"",""price"":3200},{""name"":""3000 Grit (S-3025)"",""price"":4150}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Meguiar's Unigrit  Sandpaper 1000 Grit 25/pack"",""price"":1850},{""name"":""Meguiar's Unigrit  Sandpaper 1200 Grit 25/pack"",""price"":1850},{""name"":""Meguiar's Unigrit  Sandpaper 1500 Grit 25/pack"",""price"":1995},{""name"":""Meguiar's Unigrit  Sandpaper 2000 Grit 25/pack"",""price"":2295},{""name"":""Meguiar's Unigrit  Sandpaper 2500 Grit 25/pack"",""price"":2693},{""name"":""Meguiar's Unigrit  Sandpaper 3000 Grit 25/pack"",""price"":2695}]"
DA206,Merlot,"[{""name"":""1 oz"",""price"":1050},{""name"":""4 oz"",""price"":2695},{""name"":""16oz"",""price"":10200}]","[""No Suggestions""]"
S2-FX44,Metajuls MBC Blue FX,"[{""name"":""2oz"",""price"":2168},{""name"":""4oz"",""price"":3943},{""name"":""8oz"",""price"":5978}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 44 Metajuls MBC Blue 2oz"",""price"":2749},{""name"":""HoK S2 FX 44 Metajuls MBC Blue 4oz"",""price"":4998},{""name"":""HoK S2 FX 44 Metajuls MBC Blue 8oz"",""price"":7578}]"
S2-FX46,Metajuls MBC Green FX,"[{""name"":""2oz"",""price"":2168},{""name"":""4oz"",""price"":3943},{""name"":""8oz"",""price"":5978}]","[""Success-1"",{""name"":""HoK S2 FX 46 Metajuls MBC Green 2oz"",""price"":2168},{""name"":""HoK S2 FX 46 Metajuls MBC Green 4oz"",""price"":3943},{""name"":""HoK S2 FX 46 Metajuls MBC Green 8oz"",""price"":5978}]"
S2-FX42,Metajuls MBC Pale Gold FX,"[{""name"":""2oz"",""price"":4869},{""name"":""4oz"",""price"":8853},{""name"":""8oz"",""price"":13426}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 42 Metajuls MBC Pale Gold 2oz"",""price"":6168},{""name"":""HoK S2 FX 42 Metajuls MBC Pale Gold 4oz"",""price"":11215},{""name"":""HoK S2 FX 42 Metajuls MBC Pale Gold 8oz"",""price"":17010}]"
S2-FX41,Metajuls MBC Prism FX,"[{""name"":""2oz"",""price"":15337},{""name"":""4oz"",""price"":27885},{""name"":""8oz"",""price"":42294}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 41 Metajuls MBC Prism 2oz"",""price"":19426},{""name"":""HoK S2 FX 41 Metajuls MBC Prism 4oz"",""price"":35320},{""name"":""HoK S2 FX 41 Metajuls MBC Prism 8oz"",""price"":53568}]"
S2-FX43,Metajuls MBC Red FX,"[{""name"":""2oz"",""price"":2168},{""name"":""4oz"",""price"":3943},{""name"":""8oz"",""price"":5978}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 43 Metajuls MBC Red 2oz"",""price"":2749},{""name"":""HoK S2 FX 43 Metajuls MBC Red 4oz"",""price"":4998},{""name"":""HoK S2 FX 43 Metajuls MBC Red 8oz"",""price"":7578}]"
S2-FX47,Metajuls MBC Silver FX,"[{""name"":""2oz"",""price"":2168},{""name"":""4oz"",""price"":3943},{""name"":""8oz"",""price"":5978}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 47 Metajuls MBC Silver 2oz"",""price"":2749},{""name"":""HoK S2 FX 47 Metajuls MBC Silver 4oz"",""price"":4998},{""name"":""HoK S2 FX 47 Metajuls MBC Silver 8oz"",""price"":7578}]"
S2-FX45,Metajuls MBC Yellow FX,"[{""name"":""2oz"",""price"":2168},{""name"":""4oz"",""price"":3943},{""name"":""8oz"",""price"":5978}]","[""Not All Prices Match"",{""name"":""HoK S2 FX 45 Metajuls MBC Yellow 2oz"",""price"":2749},{""name"":""HoK S2 FX 45 Metajuls MBC Yellow 4oz"",""price"":4998},{""name"":""HoK S2 FX 45 Metajuls MBC Yellow 8oz"",""price"":7578}]"
METALGLAZE,Metal Glaze,"[{""name"":""24oz Tube (415)"",""price"":5210},{""name"":""30oz (416)"",""price"":5650}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
4349,Metallic Actress Gold,"[{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260}]","[""More Suggestions:3"",{""name"":""Aztek Gravity Side Cup w/ Lid 10cc"",""price"":750},{""name"":""Auto-Air 4349 Metallic Actress Gold 4oz"",""price"":725},{""name"":""Auto-Air 4349 Metallic Actress Gold 16oz"",""price"":2725}]"
EBA-34,Metallic Blue Silver,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3750}]","[""Success-1"",{""name"":""European Body Art ENDURA Metallic Blue FX  1oz"",""price"":1300},{""name"":""European Body Art ENDURA Metallic Blue FX  4oz"",""price"":3750}]"
4337,Metallic Blue Silver,"[{""name"":""4 oz"",""price"":725},{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260},{""name"":""Gallon *Special Order/3-5 Days to Ship*"",""price"":20025}]","[""Success-1"",{""name"":""Auto-Air 4337 Metallic Blue Silver 4oz"",""price"":725},{""name"":""Auto-Air 4337 Metallic Blue Silver 16oz"",""price"":2725},{""name"":""Auto-Air 4337 Metallic Blue Silver 32oz"",""price"":5260},{""name"":""Auto-Air 4337 Metallic Blue Silver Gallon"",""price"":20025}]"
111L,Metallic Brass,"[{""name"":""4 oz"",""price"":1888},{""name"":""8 oz"",""price"":2347},{""name"":""Pint"",""price"":4069},{""name"":""Quart"",""price"":7858}]","[""Success-1"",{""name"":""One Shot 111L Metallic Brass 4oz"",""price"":1888},{""name"":""One Shot 111L Metallic Brass 8oz"",""price"":2347},{""name"":""One Shot 111L Metallic Brass 16oz"",""price"":4069},{""name"":""One Shot 111L Metallic Brass 32oz"",""price"":7858}]"
EBAV-25,Metallic Bronze,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3900}]","[""Not All Prices Match"",{""name"":""European Body Art VIBE Standard Metallic Bronze 4oz"",""price"":3600},{""name"":""European Body Art VIBE Standard Metallic Bronze 1oz"",""price"":3600}]"
4334,Metallic Bronze,"[{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260}]","[""More Suggestions:4"",{""name"":""Auto-Air 4334 Metallic Bronze Gallon"",""price"":20025},{""name"":""Auto-Air 4334 Metallic Bronze 16oz"",""price"":2725},{""name"":""Auto-Air 4334  Metallic Bronze 32oz"",""price"":5260},{""name"":""Auto-Air 4334 Metallic Bronze 4oz"",""price"":725}]"
4338,Metallic Burnt Orange,"[{""name"":""16 oz"",""price"":2725}]","[""More Suggestions:4"",{""name"":""Auto-Air 4338 Metallic Burnt Orange 4oz"",""price"":725},{""name"":""Auto-Air 4338 Metallic Burnt Orange Gallon"",""price"":20025},{""name"":""Auto-Air 4338 Metallic Burnt Orange 16oz"",""price"":2725},{""name"":""Auto-Air 4338 Metallic Burnt Orange 32oz"",""price"":5260}]"
EBA-37,Metallic Champagne,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3750}]","[""Success-1"",{""name"":""European Body Art ENDURA Metallic Champagne FX 1oz"",""price"":1300},{""name"":""European Body Art ENDURA Metallic Champagne FX 4oz"",""price"":3750}]"
4344,Metallic Charcoal-Viola,"[{""name"":""4 oz"",""price"":725},{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260},{""name"":""Gallon *Special Order/3-5 Days to Ship*"",""price"":20025}]","[""Success-1"",{""name"":""Auto-Air 4344 Metallic Charcoal-Viola 4oz"",""price"":725},{""name"":""Auto-Air 4344 Metallic Charcoal-Viola 16oz"",""price"":2725},{""name"":""Auto-Air 4344 Metallic Charcoal-Viola 32oz"",""price"":5260},{""name"":""Auto-Air 4344 Metallic Charcoal-Viola Gallon"",""price"":20025}]"
4335,Metallic Copper,"[{""name"":""4 oz"",""price"":725},{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260},{""name"":""Gallon *Special Order/3-5 Days to Ship*"",""price"":20025}]","[""Success-1"",{""name"":""Auto-Air 4335 Metallic Copper 4oz"",""price"":725},{""name"":""Auto-Air 4335 Metallic Copper 16oz"",""price"":2725},{""name"":""Auto-Air 4336 Metallic Copper 32oz"",""price"":5260},{""name"":""Auto-Air 4335 Metallic Copper Gallon"",""price"":20025}]"
110L,Metallic Copper,"[{""name"":""4 oz"",""price"":1888},{""name"":""8 oz"",""price"":2347},{""name"":""Pint"",""price"":4069},{""name"":""Quart"",""price"":7858}]","[""Not All Prices Match"",{""name"":""One Shot 110L Metallic Copper 4oz"",""price"":1803},{""name"":""One Shot 110L Metallic Copper 8oz"",""price"":2347},{""name"":""One Shot 110L Metallic Copper 16oz"",""price"":4670},{""name"":""One Shot 110L  Metallic Copper 32oz"",""price"":7858}]"
4347,Metallic Dark Brown,"[{""name"":""4 oz"",""price"":725},{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260},{""name"":""Gallon *Special Order/3-5 Days to Ship*"",""price"":20025}]","[""Less Suggestions"",{""name"":""Auto-Air 4347 Metallic Dark Brown 4oz"",""price"":725},{""name"":""Auto-Air 4347 Metallic Dark Brown 16oz"",""price"":2725}]"
4342,Metallic Elegance,"[{""name"":""4 oz"",""price"":725},{""name"":""32 oz"",""price"":5260}]","[""More Suggestions:4"",{""name"":""Auto-Air 4342 Metallic Elegance 4oz"",""price"":725},{""name"":""Auto-Air 4342 Metallic Elegance Gallon"",""price"":20025},{""name"":""Auto-Air4342 Metallic Elegance 16oz"",""price"":2725},{""name"":""Auto-Air 4342 Metallic Elegance 32oz"",""price"":5260}]"
4341,Metallic Fastback Green,"[{""name"":""16 oz"",""price"":2725},{""name"":""32 oz"",""price"":5260}]","[""More Suggestions:4"",{""name"":""Auto-Air 4341 Metallic Fastback Green 4oz"",""price"":725},{""name"":""Auto-Air 4341 Metallic Fastback Green Gallon"",""price"":20025},{""name"":""Auto-Air 4341 Metallic Fastback Green 16oz"",""price"":2725},{""name"":""Auto-Air 4341 Metallic Fastback Green 32oz"",""price"":5260}]"
